Document_ID,True_Label,True_Category,Cluster
0,0,alt.atheism,3
1,1,comp.graphics,2
2,1,comp.graphics,2
3,3,talk.religion.misc,3
4,1,comp.graphics,2
5,1,comp.graphics,2
6,2,sci.space,3
7,2,sci.space,3
8,2,sci.space,1
9,0,alt.atheism,0
10,1,comp.graphics,2
11,2,sci.space,1
12,3,talk.religion.misc,3
13,2,sci.space,2
14,0,alt.atheism,3
15,3,talk.religion.misc,3
16,3,talk.religion.misc,3
17,1,comp.graphics,2
18,1,comp.graphics,2
19,2,sci.space,3
20,3,talk.religion.misc,3
21,2,sci.space,1
22,1,comp.graphics,2
23,1,comp.graphics,2
24,2,sci.space,1
25,1,comp.graphics,2
26,0,alt.atheism,3
27,0,alt.atheism,3
28,0,alt.atheism,3
29,0,alt.atheism,3
30,2,sci.space,1
31,1,comp.graphics,3
32,1,comp.graphics,2
33,0,alt.atheism,3
34,0,alt.atheism,0
35,2,sci.space,1
36,2,sci.space,3
37,2,sci.space,1
38,0,alt.atheism,3
39,3,talk.religion.misc,0
40,0,alt.atheism,3
41,1,comp.graphics,2
42,2,sci.space,3
43,0,alt.atheism,3
44,1,comp.graphics,2
45,2,sci.space,3
46,1,comp.graphics,2
47,0,alt.atheism,3
48,0,alt.atheism,0
49,2,sci.space,1
50,2,sci.space,1
51,2,sci.space,1
52,2,sci.space,3
53,2,sci.space,3
54,0,alt.atheism,3
55,2,sci.space,1
56,3,talk.religion.misc,3
57,1,comp.graphics,2
58,0,alt.atheism,0
59,2,sci.space,3
60,1,comp.graphics,2
61,2,sci.space,3
62,2,sci.space,3
63,1,comp.graphics,2
64,3,talk.religion.misc,0
65,3,talk.religion.misc,0
66,3,talk.religion.misc,3
67,0,alt.atheism,3
68,1,comp.graphics,3
69,3,talk.religion.misc,3
70,1,comp.graphics,2
71,0,alt.atheism,3
72,0,alt.atheism,3
73,0,alt.atheism,3
74,2,sci.space,3
75,2,sci.space,1
76,0,alt.atheism,3
77,1,comp.graphics,3
78,1,comp.graphics,2
79,2,sci.space,3
80,2,sci.space,1
81,2,sci.space,1
82,2,sci.space,3
83,2,sci.space,3
84,2,sci.space,1
85,1,comp.graphics,3
86,2,sci.space,1
87,3,talk.religion.misc,2
88,1,comp.graphics,2
89,1,comp.graphics,2
90,1,comp.graphics,2
91,1,comp.graphics,2
92,0,alt.atheism,3
93,3,talk.religion.misc,3
94,3,talk.religion.misc,3
95,2,sci.space,1
96,1,comp.graphics,2
97,0,alt.atheism,3
98,3,talk.religion.misc,3
99,3,talk.religion.misc,3
100,2,sci.space,3
101,3,talk.religion.misc,0
102,1,comp.graphics,2
103,1,comp.graphics,2
104,2,sci.space,1
105,0,alt.atheism,3
